review	condition
" (1)School of Communication Sciences and Disorders, University of Memphis, Memphis, TN, USA. OBJECTIVE: While targeted rehabilitation can enhance hearing aid self-efficacy (HASE), little research has been done to determine the factors contributing to its predictive value. By investigating the experiences of individuals who successfully use HAs and have high levels of HASE, we hoped to illuminate specific strategies and/or sources of support these individuals share that might explain why high HASE is often linked to successful outcomes. DESIGN AND STUDY SAMPLE: This qualitative study explored the experiences of five older adults who were successful HA users and reported having high HASE. Semi-structured interview guides were developed using the transtheoretical model of behavioral change as a framework. Interviews were analyzed thematically and holistically. RESULTS: Participants attributed their HA success to: intrinsic motivation to improve their hearing, confident self-reliance when making health decisions, willingness to act on advice from trusted others, pro-social personal attributes, positive expectations about HA outcomes, and actively pursuing an optimal HA outcome. CONCLUSIONS: For these participants, internal factors related to emotional state and source of motivation, and, to a lesser extent, verbal persuasion played a crucial role in their long-term success. This suggests that external influencers might be less impactful in facilitating success for those with high HASE. DOI: 10.1080/14992027.2023.2243541 PMID: 37607212  7. PLoS One. 2023 Aug 22;18(8):e0289428. doi: 10.1371/journal.pone.0289428. eCollection 2023. Cognitive effort investment: Does disposition become action? Kührt C(1), Graupner ST(1), Paulus PC(2), Strobel A(1).  "	narcissistic
" (1)Department of Endocrinology and Nutrition, University Hospital Doctor Peset, Foundation for the Promotion of Health and Biomedical Research in the Valencian Region (FISABIO), Valencia, Spain. (2)Department of Medicine, University of Valencia, Valencia, Spain. (3)Department of Personality, Assessment and Psychological Treatment, University of Valencia, Valencia, Spain. INTRODUCTION: In recent years, it has been described that the dysbiosis of the intestinal microbiota plays a transcendental role in several pathologies. In this sense, the importance of the gut microbiota in the gut-brain axis, with a bidirectional communication, has been demonstrated. Furthermore, the gut microbiota has been linked with mood disorders and neuropsychiatric disorders. METHODS: A systematic review of two databases - PubMed and Scopus - was carried out following PRISMA guidelines. We included original studies in humans with a control group published in the last 11?years, which were assessed by the Critical Appraisal Skills Program (CASP) to confirm their quality. Eighteen articles met all the selection criteria. RESULTS: A review of the articles revealed an association between psychiatric disorders and different bacterial phyla. The studies we have reviewed have demonstrated differences between subjects with psychiatric disorders and controls and highlight a clear relationship between depression, stress, autism spectrum disorder (ASD), psychotic episodes, eating disorders, anxiety and brain function and the gut microbiota composition. CONCLUSION: A reduction of fermentative taxa has been observed in different psychiatric disorders, resulting in a decrease in the production of short-chain fatty acids (SCFAs) and an increase in pro-inflammatory taxa, both of which may be consequences of the exacerbation of these pathologies. Copyright © 2023 Grau-Del Valle, Fernández, Solá, Montoya-Castilla, Morillas and Bañuls. DOI: 10.3389/fpsyg.2023.1215674 PMCID: PMC10435258 PMID: 37599717 Conflict of interest statement: The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.  17. Sci Rep. 2023 Aug 19;13(1):13508. doi: 10.1038/s41598-023-40654-z. Comparison of typical Thai and Hungarian personality profiles using the Zuckerman-Kuhlman-Aluja Personality Questionnaire. Kövi Z(1), Wongpakaran T(2), Wongpakaran N(3), Zábó V(4)(5), Birkás B(6), Mirnics Z(7).  "	personality
" (1)Department of Neurosciences and Mental Health, Fondazione IRCCS Ca'Granda Ospedale Maggiore Policlinico. (2)Department of Pathophysiology and Transplantation, University of Milan, Milan, Italy. (3)Department of Community Medicine, Mercer University School of Medicine, Macon, Georgia, USA. Bipolar disorder (BD) is a highly prevalent condition whose response to pharmacological treatment is associated with a number of factors including psychiatric comorbidity. Borderline personality disorder (BPD) shares clinical symptoms and biological vulnerability with BD and the two conditions are frequently comorbid, thus representing a clinical challenge. The purpose of the present review is to summarize the data related to treatment response in bipolar patients with comorbid BPD. According to systematic review process, a literature search was performed on the PubMed, Embase, PsycInfo, Isi Web of Knowledge, Medscape, and Cochrane Library databases. Peer-reviewed articles until December 2022 were eligible for inclusion. Comorbidity with BPD seems to be associated with a more difficult clinical stabilization in bipolar patients, often requiring poly-therapy or a longer duration of hospitalization. However, three studies, assessing the effectiveness of mood stabilizers in bipolar patients, did not demonstrate a prominent influence of BPD comorbidity in achieving clinical response. The most frequently administered pharmacological treatments in the selected studies include mood stabilizers and atypical antipsychotics. The presence of comorbid BPD in bipolar patients may hamper treatment effectiveness. Future studies, comparing different treatments and with larger samples, are needed to confirm the results critically summarized in the present review. Copyright © 2023 Wolters Kluwer Health, Inc. All rights reserved. DOI: 10.1097/YIC.0000000000000489 PMID: 37551606  43. Front Psychiatry. 2023 Jul 20;14:1092193. doi: 10.3389/fpsyt.2023.1092193. eCollection 2023. The mediating effect of mood spectrum on the relationship between autistic traits and catatonia spectrum. Dell'Osso L(1), Amatori G(1), Carpita B(1), Massimetti G(1), Nardi B(1), Gravina D(1), Benedetti F(1), Bonelli C(1), Casagrande D(1), Luciano M(2), Berardelli I(3), Brondino N(4), De Gregorio M(5), Deste G(6), Nola M(4), Reitano A(5), Muscatello MRA(5), Pompili M(3), Politi P(4), Vita A(6), Maj M(2).  "	borderline
" (1)Public Health Agency of Catalonia, Department of Health, Government of Catalonia, Programme on Addictions, HIV, STI and Viral Hepatitis, Barcelona, Spain. INTRODUCTION: According to the literature, early initiation to cannabis use and a dependent pattern of use are important risk factors for the development of mental health disorders. However, there are few cohort studies which look at the development of mental health disorders associated with cannabis use among young people with cannabis use disorder (CUD). The aim of the study was to determine the cumulative incidence of mental health disorders and the risk of developing mental health disorders among minors who commenced treatment for CUD in Catalonia during 2015-2019. METHODS: This was a retrospective fixed cohort study, matched for confounding variables, based on data from the Catalan Health Surveillance System. The exposed cohort comprised young people who entered treatment for CUD during 2015-2019 (n = 948) and who were minors on the date of commencing treatment. Matching was done with a paired cohort (n = 4,737), according to confounding variables. Individuals with a diagnosis of a mental health disorder prior to the study period were excluded. The cumulative incidence was calculated for mental health disorders for the exposed and the paired cohorts and stratified by type of mental disorder. Incidence rate ratios were estimated using the conditional Poisson model with robust variance, stratified by sex. RESULTS: The cumulative incidence for development of a mental health disorder was 19.6% in the exposed cohort and 3.1% in the paired cohort; with higher incidence among females (females 32.7%; males 15.8%). The exposed cohort had an 8.7 times increased risk of developing a mental health disorder than the paired cohort. The most frequent diagnoses were reaction to severe stress, adjustment disorder, and personality disorders. CONCLUSION: This study confirmed that the exposed cohort was at increased risk of developing mental health disorders compared to the paired cohort. To date, few studies have analyzed the association between cannabis use and the development of mental health disorders, considering cannabis dependence. Further studies should be undertaken considering CUD. In addition, more studies are needed to understand the factors that determine the development of CUD. Further research in these areas would contribute to the design of prevention strategies aimed at those young individuals with a higher risk of developing cannabis dependence and suffering its consequences. © 2023 The Author(s). Published by S. Karger AG, Basel. DOI: 10.1159/000530331 PMID: 37586355  32. Suicidal Ideation. Harmer B(1), Lee S(2), Duong TVH(3), Saadabadi A(4). In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2023 Jan–. 2023 Aug 17.  "	narcissistic
" (1)Department of Psychiatry and Psychotherapy, Faculty of General Medicine, Semmelweis University, Budapest, Hungary. (2)Department of General Psychology, Faculty of Humanities and Social Sciences, Pázmány Péter Catholic University, Budapest, Hungary. INTRODUCTION: Borderline personality disorder (BPD) is a complex mental disorder with core symptoms like interpersonal instability, emotion dysregulation, self-harm, and impulsive decision-making. Previous neuropsychological studies have found impairment in the decision-making of patients with BPD related to impulsivity. In our study, we focus on a better, more nuanced understanding of impulsive decision-making in BPD with the help of Rogers' decision-making test that simulates a gambling situation. METHODS: A novelty of our study is that we excluded from further analysis non-compliant participants based on their performance. Outlier participants on the measures proportion of good choices and average of wager choice number were filtered out to represent the population that understood the basic premise of the task and showed minimal motivation to gain rewards. Thus participants often choosing the less likely color or frequently choosing the first bet amount available (to probably speed up the test) were omitted from further analysis. Another novelty is that we assessed and reported six variables that examine Deliberation Time, Quality of Decision, Risk-taking, Overall proportion bet, Delay aversion, and Risk adjustment. Forty-three women with BPD participated in the study, and 16 non-compliant were excluded. As for the healthy control group, 42 women participated in the study, and four non-compliant were excluded. Thus, we compared the data of 27 patients with BPD with 38 healthy controls. RESULTS: Our results show that there are significant differences amongst the groups regarding the Quality of Decision Making (F (1,63)?=?5.801, p?=?0.019) and Risk Adjustment (F (1,63)?=?6.522, p?=?0.013). We also found significant interactions between group and winning probability regarding Risk Taking (F (4,252)?=?4.765 p?=?0.001) and Overall proportion of bets, i.e., the average proportion of bets relative to the total score of the subject (F (4,252)?=?4.505, p?=?0.002). DISCUSSION: Our results show that the two groups use different decision-making strategies that can have various associations with everyday life situations. Copyright © 2023 Bajzát, Soltész-Várhelyi, Klára, Lévay and Unoka. DOI: 10.3389/fpsyg.2023.1109238 PMCID: PMC10436614 PMID: 37599767 Conflict of interest statement: The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.  16. Front Psychol. 2023 Aug 3;14:1215674. doi: 10.3389/fpsyg.2023.1215674. eCollection 2023. Association between gut microbiota and psychiatric disorders: a systematic review. Grau-Del Valle C(1), Fernández J(1), Solá E(1)(2), Montoya-Castilla I(3), Morillas C(1)(2), Bañuls C(1).  "	personality
" (1)College of Medicine and Public Health, Flinders University, Adelaide, South Australia, Australia. Joshua.Han@sa.gov.au. (2)Discipline of Psychiatry, College of Medicine and Public Health, Flinders University, Adelaide, South Australia, Australia. (3)Consortrium of Australian-Academic Psychiatrists for Independent Policy and Research Analysis (CAPIPRA), ACT, Canberra, Australia. (4)Academic Unit of Psychiatry and Addiction Medicine, The Australian National University School of Medicine and Psychology, Canberra Hospital, Canberra, ACT, Australia. (5)Department of Psychiatry, the School of Clinical Medicine, The University of Hong Kong, Hong Kong, Hong Kong. (6)The State Key Laboratory of Brain and Cognitive Sciences, The University of Hong Kong, Hong Kong, Hong Kong. (7)College of Medicine and Public Health, Flinders University, Adelaide, South Australia, Australia. (8)Department of Psychiatry, Monash University, Wellington Road, Clayton, Victoria, Australia. RATIONALE: Clozapine is a unique medication with a potential role in the treatment of severe borderline personality disorder (BPD). OBJECTIVES: The review examines the effectiveness of clozapine as a medication for management for severe BPD with high risk of suicide, violence or imprisonment, and aims to help guide clinical practice in managing severe BPD. METHODS: A database search of the terms ""Clozapine"" AND ""BPD""; ""Antipsychotics"" AND ""BPD""; ""Clozapine"" AND ""Borderline Personality Disorder""; and ""Antipsychotics"" AND ""Borderline Personality Disorder"" were performed in CINAHL, Cochrane Library, Embase, Medline, PsychINFO, PubMed, and Web of Science. Full-text articles of clinical clozapine use for BPD were included for review. RESULTS: A total of 24 articles consisting of 1 randomised control trial, 10 non-controlled trials, and 13 case reports were identified. Most of the studies reported benefits from clozapine when used for severe BPD. Many of the studies focused on clozapine use in BPD patients at high risk of suicide. Results from these non-controlled and case reports support the use of clozapine in patients with severe BPD at high risk of suicide. CONCLUSION: There may be a role for clozapine in treating severe treatment refractory BPD, especially for those patients at high risk of suicide and frequent hospitalisations. © 2023. Crown. DOI: 10.1007/s00213-023-06431-6 PMID: 37572113  26. Healthcare (Basel). 2023 Aug 3;11(15):2196. doi: 10.3390/healthcare11152196. Is Your Pregnancy Unwanted or Unhappy? Psychological Correlates of a Cluster of Pregnant Women Who Need Professional Care. Ohashi Y(1)(2), Takegata M(2), Takeda S(3)(4), Hada A(2)(5)(6), Usui Y(7), Kitamura T(2)(5)(8)(9).  "	borderline
 (1)Hospital for Tropical Diseases, University College London Hospitals NHS Foundation Trust, London, United Kingdom. (2)Faculty of Infectious and Tropical Diseases, London School of Hygiene & Tropical Medicine, London, United Kingdom. (3)Department of Dermatology, University College London Hospitals NHS Foundation Trust, London, United Kingdom. (4)Dermatology Department, St Georges University Hospitals NHS Foundation Trust, London, United Kingdom. BACKGROUND: Individuals with leprosy are at risk of leprosy reactions, T-cell mediated immunological complications, which lead to nerve function impairment. Leprosy reactions require systemic immunosuppression which is a risk factor for severe COVID-19. Vaccination for SARS-CoV-2 infection is recommended in the UK and became widely available in 2021 with individuals at increased risk of severe disease, including the immunosuppressed, prioritised. Vaccines for SARS-CoV-2 may provoke a T cell response. The latter poses a theoretical risk of provoking an immunological response to latent Mycobacterium leprae infection leading to clinical disease or in those with clinical disease triggering a leprosy reaction. BCG vaccination is associated with the development of leprosy in a small proportion of healthy contacts of people with leprosy within twelve weeks of administration. BCG causes a Th1 immune response. METHODOLOGY/PRINCIPAL FINDINGS: We performed a retrospective cohort study to determine the SARS-CoV-2 vaccination status of individuals diagnosed with leprosy attending the Leprosy Clinic in 2021 and whether any had developed leprosy or experienced a new leprosy reaction within twelve weeks of receiving a dose of a SARS-CoV-2 vaccine. The electronic patient records were used to retrieve data. Fifty-two individuals with leprosy attended the clinic in 2021 of which five people were newly diagnosed with leprosy. Thirty-seven (71%) were male and the median age was 48.5 years old (Range 27-85 years). Eight (15.4%) individuals were taking multi-drug therapy (MDT) and eight (15.4%) had completed MDT within three years of the study. Twenty-two (41.5%) individuals were prescribed a systemic immunosuppressant drug during 2021. Ten (18.9%) individuals have one or more risk factors for severe COVID-19. The SARS-CoV-2 vaccination status of fifty (96%) were recorded of which forty-nine were vaccinated (98%). One individual had declined vaccination. One individual was diagnosed with borderline tuberculoid (BT) leprosy having developed red skin lesions with reduced sensation (which increased in size and number) and thickened peripheral nerves one week after a second dose of BNT162b2 vaccine. Another individual who had completed MDT more than three years earlier developed red plaques and tender thickened nerves consistent with a leprosy Type 1 reaction eight weeks after a single dose of BNT162b2 vaccine (having received two doses of CoronaVac vaccine three months earlier). CONCLUSIONS/SIGNIFICANCE: The development of BT leprosy and a Type 1 reaction in another individual shortly after a dose of BNT162b2 vaccine may be associated with vaccine mediated T cell responses. The benefits of vaccination to reduce the risk of severe COVID-19 outweigh these unwanted events but data from leprosy endemic countries may provide further information about potential adverse effects of augmented T cell responses in individuals with leprosy or latent M. leprae infection. Copyright: © 2023 de Barros et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. DOI: 10.1371/journal.pntd.0011493 PMCID: PMC10431605 PMID: 37540711 [Indexed for MEDLINE] Conflict of interest statement: The authors have declared that no competing interests exist.  48. Curr Neuropharmacol. 2023 Aug 4. doi: 10.2174/1570159X21666230804085639. Online ahead of print. The Hypothalamus-Pituitary-Adrenal Axis and Social Cognition in Borderline Personality Disorder. Kulakova E(1), Graumann L(1), Wingenfeld K(1).  	borderline
" (1)Centre for Research on Addiction, Control, and Governance (CEACG), University of Helsinki, Helsinki, Finland. There seems to be no shortage of gambling and problem gambling typologies. At a closer look, however, previous research identified types of problem gamblers and not of problem gambling. While correct typologies of gamblers are important for developing treatment, they are less useful for harm prevention. The current study uses a system theoretical approach to investigate gambling communication in order to develop a genuine typology of gambling. Snowball sampling of Finnish gamblers resulted in 56 participants, who wrote 48 narratives about their ordinary gambling, 43 narratives about their most remarkable gambling event, and 28 about their worst gambling experience. The approach is informed by systems theory: communication on gambling is understood as a result of the reduction of contingency. Rather than focusing on the meaning of gambling or why people gamble, the analysis investigates what is included and what is excluded to make gambling discussable, i.e., the contextures of gambling. Economic and family/intimate contexture were the most prominent. The latter appeared most often in the most memorable gambling experiences. The economic contexture was more common in narrating ordinary and worst gambling situations. In all, four types of gambling could be identified: genuine monetary gambling, resonating monetary gambling, commensal gambling, and liminal gambling. When comparing the previously identified types of gamblers with the types of gambling discovered in the present study, it becomes obvious that a shift from the gamblers, their background, their personality, and their motives to the gambling activity provides novel insights. The constant appearance of the familial/intimate dimension in the narratives indicates that, beside the financial harms, societal harms also need to be treated as a category of harm in its own right, not just as a consequence of personality disorders, psychological distress, or social deprivation. Copyright © 2023 Egerer. DOI: 10.3389/fsoc.2023.1199474 PMCID: PMC10433772 PMID: 37601333 Conflict of interest statement: ME has during the last 3 years received funding from the Finnish Foundation for Alcohol Studies (FFAS) based on §52 of the Finnish Lotteries Act to support conference travel and research. He is funded by the Finnish Ministry of Social Affairs and Health within the objectives of §52 of the Lotteries Act. The funds based on §52 stem from a mandatory levy on the Finnish gambling monopoly to support research and treatment. The funds are circulated via the Ministry and the monopoly has no influence on how the money is distributed. Neither the Ministry, the FFAS nor the gambling monopoly pose restrictions on publications.  16. Front Public Health. 2023 Aug 3;11:1204285. doi: 10.3389/fpubh.2023.1204285. eCollection 2023. The interplay of personality traits, anxiety, and depression in Chinese college students: a network analysis. Yang T(1), Guo Z(2), Zhu X(2), Liu X(1), Guo Y(1).  "	narcissistic
 (1)Department of Neurology, University Hospital RWTH Aachen, Pauwelsstr. 30, 52074, Aachen, Germany. (2)Department of Psychiatry and Neuropsychology, School for Mental Health and Neuroscience, Alzheimer Center Limburg, Maastricht University, Maastricht, The Netherlands. (3)JARA Institute Molecular Neuroscience and Neuroimaging, RWTH Aachen & Forschungszentrum Jülich, Aachen, Germany. (4)Department of Neurology, University Hospital RWTH Aachen, Pauwelsstr. 30, 52074, Aachen, Germany. kreetz@ukaachen.de. (5)JARA Institute Molecular Neuroscience and Neuroimaging, RWTH Aachen & Forschungszentrum Jülich, Aachen, Germany. kreetz@ukaachen.de. BACKGROUND: The AT(N) research framework for Alzheimer's disease (AD) remains unclear on how to best deal with borderline cases. Our aim was to characterise patients with suspected AD with a borderline Aß1-42/Aß1-40 ratio in cerebrospinal fluid. METHODS: We analysed retrospective data from two cohorts (memory clinic cohort and ADNI) of patients (n?=?63) with an Aß1-42/Aß1-40 ratio within a predefined borderline area-Q1 above the validated cut-off value(grey zone). We compared demographic, clinical, neuropsychological and neuroimaging features between grey zone patients and patients with low Aß1-42 (normal Aß ratio but pathological Aß1-42, n?=?42) and patients with AD (pathological Aß, P-Tau, und T-Tau, n?=?80). RESULTS: Patients had mild cognitive impairment or mild dementia and a median age of 72 years. Demographic and general clinical characteristics did not differ between the groups. Patients in the grey zone group were the least impaired in cognition. However, they overlapped with the low Aß1-42 group in verbal episodic memory performance, especially in delayed recall and recognition. The grey zone group had less severe medial temporal atrophy, but mild posterior atrophy and mild white matter hyperintensities, similar to the low Aß1-42 group. CONCLUSIONS: Patients in the Aß ratio grey zone were less impaired, but showed clinical overlap with patients on the AD continuum. These borderline patients may be at an earlier disease stage. Assuming an increased risk of AD and progressive cognitive decline, careful consideration of clinical follow-up is recommended when using dichotomous approaches to classify Aß status. © 2023. The Author(s). DOI: 10.1186/s42466-023-00262-8 PMCID: PMC10398972 PMID: 37533121 Conflict of interest statement: The authors declare that they have no competing interests. 1. J Pers. 2023 Aug 24. doi: 10.1111/jopy.12878. Online ahead of print. Common genetic and environmental bases of the mental disorders and personality traits: Special focus on the hierarchical model of psychopathology and NEO-PI-R facets. Mitrovi? D(1), Mihi? L(1), Sadikovi? S(1), Smederevac S(1).  	narcissistic
 (1)Division of Gastroenterology and Hepatology, Indiana University School of Medicine, Indianapolis, IN, USA. (2)Division of Gastroenterology, Hepatology and Nutrition, Cincinnati Children's Hospital, Cincinnati, OH, USA. (3)Laboratory of Pathology, National Cancer Institute, Bethesda, MD, USA. (4)Center for Precision Medicine, Department of Internal Medicine - Section of Molecular Medicine, Wake Forest School of Medicine, Winston-Salem, NC, USA. (5)Department of Surgery, University of Cincinnati College of Medicine, Cincinnati, OH, USA. (6)Department of Pediatrics, University of Cincinnati College of Medicine, Cincinnati, OH, USA. (7)Department of Surgery, Lurie Children's Hospital of Chicago, and Northwestern University, Chicago, IL, USA. INTRODUCTION: To gain insights into the mechanisms underlying distinct nonalcoholic fatty liver disease (NAFLD) histological phenotypes between children and adults, we compared hepatic gene expression profiles associated with NAFLD phenotypes between the two age groups. METHODS: Histological characteristics of intra-operative liver biopsies from adolescents and adults undergoing bariatric surgery were assessed by the same pathologist using the non-alcoholic steatohepatitis (NASH) Clinical Research Network scoring system. Hepatic gene expression was measured by microarray analysis. Transcriptomic signatures of histological phenotypes between the two groups were compared, with significance defined as p-value <0.05 and a fold change >1.5. RESULTS: In 67 adolescents and 76 adults, distribution of histological phenotypes was: not-NAFLD (controls) 51% vs 39%, NAFL 39% vs 37%, and NASH 10% vs 24%, respectively. There were 279 differentially expressed genes in adolescents and 213 in adults with NAFLD vs controls. In adolescents, transcriptomes for NAFL vs controls, and borderline vs definite NASH were undifferentiable, whereas in adults, NAFL and borderline NASH demonstrated a transcriptomic gradient between controls and definite NASH. When applied to adolescents, significant adult genes discriminated borderline and definite NASH from control and NAFL, but the majority of significant pediatric genes were not portable to adults. Genes associated with NASH in adolescents and adults showed some ontological consistency but notable differences. CONCLUSIONS: There is some similarity but major differences in the transcriptomic profiles associated with NAFLD between adolescents and adults with severe obesity. These data suggest different mechanisms contribute to the pathogenesis of NAFLD severity at different stages in life. DOI: 10.26502/acbr.50170323 PMCID: PMC10426795 PMID: 37583647  23. J Obstet Gynaecol Res. 2023 Aug 13. doi: 10.1111/jog.15764. Online ahead of print. Fertility-sparing management of stage IIIC serous borderline ovarian tumor: A case report of a 20-year follow-up. Iwamoto M(1), Tsubamoto H(1), Yoshiyasu K(2), Wakimoto Y(1), Nakagawa K(1), Shibahara H(1).  	borderline
